brand,priority_tier,region,country,activity_name,activity_type,activity_status,start_date,end_date,discovery_date,channel_source,source_url,proof_screenshot,city_or_region,venue,online_offline,product_line,member_only,member_benefit,wecom_or_private_traffic_hook,entry_threshold,signup_flow,target_audience,core_mechanic,ugc_or_creator_mechanic,offer_or_incentive,partnership_or_ip,visual_keyword,engagement_signal,conversion_signal,reuse_score_for_insta360,replication_difficulty,insight_summary,recommendation_for_insta360,owner,review_status,last_updated,link_type,link_note
Garmin,P1,China,China,Garmin Run Club 2025 元旦迎新跑,community_run,completed,2025/01/01,2025/01/01,2026/06/09,official club page,https://www.garmin.com.cn/minisite/grc/,,,Garmin Run Club,offline,sports watch / running community,no,,,registration,club page to event participation,runners; smartwatch users; performance athletes,year-round run club with calendarized flagship events,activity photos and finisher sharing,,,group run; warm-up; club atmosphere,persistent event calendar and recurring community scenes,club participation builds hardware consideration and retention,5,low,最容易被影石复用的是固定节奏的社群活动，而不是单次大型发布。,影石可做城市影像跑、骑、徒步记录局，形成每月固定社群活动。,codex-seed,seeded,2026/06/09,reference,公开参考页
Shokz,P1,North America,Canada,Shokz Brand Day Lucky Draw,email_signup_promo,completed,2025/10/16,2025/10/22,2026/06/09,official campaign terms page,,,,,online,open-ear headphones,no,chance to win OpenRun Pro 2,email signup on landing page,email submission,brand day landing page to email capture,runners; cyclists; open-ear audio shoppers,lead capture through giveaway tied to brand day landing page,,lucky draw for OpenRun Pro 2,,brand day; lucky draw,email acquisition tied to campaign entry,lead capture for later conversion campaigns,5,low,把奖品抽奖直接绑定邮箱留资，是很标准的私域蓄水动作。,影石可做新品体验官抽签、免费线下名额或周边抽奖，换取会员或企微线索。,codex-seed,seeded,2026/06/09,reference,活动规则或说明页
Huawei,P0,China,China,HDC 2025 华为开发者大会,conference,completed,2025/06/20,2025/06/22,2026/06/09,official developer conference page,https://developer.huawei.com/consumer/cn/hdc2025/,,Dongguan,松山湖,offline,HarmonyOS ecosystem / developer platform,no,,,public,conference page to registration,developers; ecosystem partners,年度开发者大会与生态路线图发布,,,,,,,4,medium,华为用开发者大会沉淀生态伙伴与技术社群。,影石可做创作者开放日或 SDK 训练营。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Huawei,P0,China,China,华为影像 XMAGE Awards 2025 共见上海,brand_collab_offline_activation,completed,2025/06/11,2025/10/08,2026/06/09,official press article,https://consumer.huawei.com/cn/press/news/2025/xmage-event-sh/,,Shanghai,,hybrid,mobile imaging / creator community,no,,,public,,mobile photographers; creators,影像赛事与城市展览,creator submission and social exposure,,XMAGE Awards,,,,5,medium,影像赛事和城市展览兼顾内容生产与品牌展示。,影石可复制赛事+城市展览+创作者社群组合。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Huawei,P0,China,China,华为线下零售门店体验入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official retail page,https://consumer.huawei.com/cn/retail/,,,,offline,smartphone retail,no,,,public,,premium device users,门店查询与顾问咨询转化,,,,,,,4,medium,门店入口是典型的线上引流到店基础设施。,影石可把门店试拍和顾问咨询统一收口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Huawei,P0,China,China,华为消费者服务活动与到店支持入口,member_service_activity,ongoing,2026/06/09,2026/06/09,2026/06/09,official support page,https://consumer.huawei.com/cn/support/,,,,hybrid,after-sales / user retention,yes,service campaigns and support resources,,public,,existing users; members,服务活动与售后复访,,,,,,,3,medium,售后活动会反向促进复购和会员留存。,影石可做会员服务月与到店设备体检。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Huawei,P0,China,China,华为社区活动入口,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official community page,https://consumer.huawei.com/cn/community/,,,,online,community / content ecosystem,yes,,,public,,brand community users; creators,社区内容与活动聚合,,,,,,,4,medium,社区阵地适合承接作品活动和长期留存。,影石可做官方创作者社区首页。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Xiaomi,P0,China,China,New Beginnings：小米北京人车家全生态发布活动,product_launch,completed,2025/06/26,2025/06/26,2026/06/09,official global event page,https://www.mi.com/global/discover/,,Beijing,,hybrid,smartphone / smart home ecosystem,no,,,public,,ecosystem shoppers; urban lifestyle users,人车家全生态发布,,,,,,,5,medium,小米擅长把多产品线打成同一场发布事件。,影石可把相机、配件、软件和服务做一体化套餐发布。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Xiaomi,P0,China,Global,Xiaomi Launch February 2026,product_launch,completed,2026/02/28,2026/02/28,2026/06/09,official global event page,https://www.mi.com/global/event/2026/xiaomi-launch-february-2026/,,,,hybrid,smartphone / imaging,no,,,public,,technology users; Xiaomi fans,旗舰影像与合作叙事发布,,,,,,,4,medium,旗舰影像和合作叙事适合参考到影像合作品牌活动包装。,影石可围绕合作品牌做联名视觉和内容发布。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Xiaomi,P0,China,Global,Xiaomi Fan Festival 2026,member_app_presale,completed,2026/04/01,2026/04/30,2026/06/09,official campaign terms page,https://www.mi.com/global/support/terms/xiaomi-fan-festival-2026/,,,,online,membership / commerce promotion,yes,,,public,,Mi community users; repeat buyers,品牌节与会员运营,,,,,,,4,medium,品牌节是典型的高频会员运营工具。,影石可做影石会员月或创作者福利周。,codex-recover,seeded_with_inference,2026/06/09,reference,活动规则或说明页
Xiaomi,P0,China,Global,Xiaomi 客服与线下支持联系入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official support page,https://www.mi.com/global/support/contact/,,,,hybrid,support / retail contact,no,,,public,,existing users; new buyers,客服与联系页承接到店支持,,,,,,,3,medium,客服与联系页是私域承接和到店支持的底层入口。,影石可把客服、门店、试拍和维修统一到一个入口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Xiaomi,P0,China,Global,Xiaomi Imagery Awards 2025,ugc_creator_competition,ongoing,2026/06/09,2026/06/09,2026/06/09,official campaign page,https://www.mi.com/global/xiaomiImageryawards/,,,,online,mobile imaging / creator community,no,,,public,,mobile photographers; creators,UGC 赛事与作品征集,,,,,,,4,medium,UGC 赛事非常适合影石这类内容驱动型品牌。,影石可做年度影像奖，串联投稿、评选、展览和社群。,codex-recover,seeded_with_inference,2026/06/09,detail,官方活动页
HONOR,P0,China,China,荣耀 500 系列正式发布,product_launch,completed,2025/11/24,2025/11/24,2026/06/09,official news article,https://www.honor.com/cn/news/honor-500-launch/,,,,hybrid,smartphone / AI devices,no,,,public,,mobile users; content creators,主流旗舰发布,,,,,,,4,medium,荣耀 500 的发布方式适合借鉴到年轻用户导向的产品活动。,影石可为 GO 系列做更年轻化的内容场景包装。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
HONOR,P0,China,China,荣耀与中国联通签署战略合作协议,brand_collab_offline_activation,completed,2025/07/18,2025/07/18,2026/06/09,official news article,https://www.honor.com/cn/news/honor-china-unicom-strategic-cooperation/,,,,offline,channel partnership / retail ecosystem,no,,,public,,operator channel users; enterprise partners,渠道合作与门店触点扩张,,,,,,,3,medium,渠道合作类活动更适合放大触点和到店效率。,影石可与渠道方做联合体验日或包场体验。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
HONOR,P0,China,China,荣耀线下零售门店体验入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official retail page,https://www.honor.com/cn/retail/,,,,offline,smartphone retail,no,,,public,,young users; gift shoppers,门店查询与到店体验,,,,,,,4,medium,荣耀门店页的作用是把线上热度快速导流到线下触点。,影石可把门店活动、预约体验和会员绑定。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
HONOR,P0,China,China,荣耀服务活动专区,member_service_activity,ongoing,2026/06/09,2026/06/09,2026/06/09,official service activity page,https://www.honor.com/cn/support/activity-list/,,,,hybrid,service / member loyalty,yes,,,public,,existing users; members,服务活动区与售后复访,,,,,,,3,medium,服务活动对高客单硬件的复购和口碑沉淀很关键。,影石可做会员服务月和售后权益活动。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
HONOR,P0,China,China,荣耀 HONOR Talks 城市互动活动,brand_collab_offline_activation,ongoing,2026/06/09,2026/06/09,2026/06/09,official retail campaign page,https://www.honor.com/cn/retail/honor-talks/,,,,offline,brand retail / community,no,,,public,,young users; culture and lifestyle users,城市互动活动与门店引流,,,,,,,4,medium,这种活动兼顾了内容感和到店效率。,影石可做城市分享会、体验会、创作者对谈。,codex-recover,seeded_with_inference,2026/06/09,detail,官方活动页
OnePlus,P0,China,China,OnePlus Photography Awards 2025,ugc_creator_competition,completed,2025/06/01,2025/06/30,2026/06/09,official campaign page,https://www.oneplus.com/cn/photography-awards-2025,,,,online,smartphone imaging / community,no,,,public,,mobile photographers; community users,影像赛事与作品征集,,,,,,,4,medium,UGC 赛事非常适合影石学习。,影石可同步做作品评审、社群分享和优胜者线下展。,codex-recover,seeded_with_inference,2026/06/09,detail,官方活动页
OnePlus,P0,China,China,一加 Ace 6 至尊版发布活动,product_launch,completed,2026/06/05,2026/06/05,2026/06/09,official launch page,https://www.oneplus.com/cn/ace-6-ultra-launch,,,,hybrid,performance smartphone,no,,,public,,performance phone buyers,性能旗舰直播发布,,,,,,,4,medium,一加这种性能机发布适合参考到参数强卖点 + 直播首发转化结构。,影石可为高性能产品做直播首发和限时权益。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
OnePlus,P0,China,China,一加线下门店地图,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official retail map,https://www.oneplus.com/cn/retail/map,,,,offline,smartphone retail,no,,,public,,young tech users,门店地图导流到店,,,,,,,4,medium,门店地图是典型的线上热度导流线下体验入口。,影石可把门店、体验点和城市试拍活动统一聚合。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
OnePlus,P0,China,China,一加邀请有礼,member_referral,ongoing,2026/06/09,2026/06/09,2026/06/09,official referral page,https://www.oneplus.com/cn/invite,,,,online,member referral / commerce,yes,invite rewards,,public,,existing users; members,推荐奖励与裂变,,,,,,,5,medium,推荐奖励极适合影石做社群裂变和会员拉新。,影石可做邀请好友试拍得周边/积分。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
OnePlus,P0,China,China,一加优惠券中心,member_benefit,ongoing,2026/06/09,2026/06/09,2026/06/09,official coupon page,https://www.oneplus.com/cn/coupon,,,,online,coupon / member benefit,yes,coupon and price incentives,,public,,price-sensitive members; repeat buyers,优惠券与直接转化,,,,,,,4,medium,简单粗暴，但对复购和清库存很有效。,影石可把会员券与活动报名绑定。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
BYD,P0,China,China,比亚迪海豹 06EV 广州上市,product_launch,completed,2025/06/11,2025/06/11,2026/06/09,official news listing,https://www.byd.com/cn/news,,Guangzhou,,offline,EV sedan,no,,,public,,mass EV buyers,区域上市活动,,,,,,,4,medium,区域上市活动有助于迅速拉动门店线索和试驾需求。,影石可围绕重点城市做线下体验与限时权益组合。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
BYD,P0,China,China,比亚迪全地形赛车场正式开业,city_activation,completed,2025/08/15,2025/08/15,2026/06/09,official news article,https://www.byd.com/cn/news/2025/detail602,,,,offline,off-road experiential driving,no,,,public,,driving enthusiasts,自有场地体验,,,,,,,4,medium,场地型活动能把复杂产品卖点转成用户可体验内容。,影石可与营地、摄影基地合作搭建固定体验空间。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
BYD,P0,China,China,比亚迪和美的开启智慧家生活解决方案战略合作,brand_collab_offline_activation,completed,2025/11/24,2025/11/24,2026/06/09,official news article,https://www.byd.com/cn/news/2025/detail610,,,,offline,smart home / auto ecosystem,no,,,public,,family users; ecosystem buyers,生态合作场景方案,,,美的,,,,3,medium,生态合作有助于把品牌从单品升级为生活方式方案。,影石可与露营、骑行、户外家居品牌做联合活动。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
BYD,P0,China,China,比亚迪试驾预约入口,test_drive_booking,ongoing,2026/06/09,2026/06/09,2026/06/09,official test-drive page,https://www.byd.com/cn/test-driver,,,,online,vehicle sales conversion,no,,,public,,mass EV buyers,试驾预约与线索收口,,,,,,,5,medium,试驾预约是车企最强的线索收口页面之一。,影石可以做预约试拍主入口并配顾问跟进。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
BYD,P0,China,China,比亚迪王朝门店查询入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store page,https://www.byd.com/cn/dynasty-home/find-store,,,,offline,showroom / retail,no,,,public,,family buyers,王朝门店分流,,,,,,,4,medium,按产品线拆门店更容易承接高意向用户。,影石可按产品线拆分体验点和预约入口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
BYD,P0,China,China,比亚迪海洋门店查询入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store page,https://www.byd.com/cn/ocean-home/find-store,,,,offline,showroom / retail,no,,,public,,young buyers,海洋门店分流,,,,,,,4,medium,年轻向产品线更适合单独的门店表达。,影石可对 GO 系列做年轻化体验入口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
NIO,P0,China,China,NIO Day 2025 将在杭州举办,city_activation,completed,2025/08/25,2025/08/25,2026/06/09,official news listing,,,Hangzhou,,offline,premium EV / owner community,no,,,public,,premium EV owners; brand community,年度品牌日与城市落地,,,,,,,5,medium,品牌日更像高净值用户关系运营，而不只是一次发布会。,影石可做年度创作者日或用户大会。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
NIO,P0,China,China,NIO All-New ES8 开启预订,member_app_presale,completed,2025/08/21,2025/08/21,2026/06/09,official news article,,,,,online,premium EV / member ecosystem,yes,pre-order benefits and repurchase vouchers,,public,,premium EV owners,预订权益与老车主转化,,,,,,,5,medium,蔚来非常擅长把老用户权益和新车预订绑定起来。,影石可做老用户专属升级、预订和积分权益。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
NIO,P0,China,China,NIO ES9 正式发布,product_launch,completed,2026/05/27,2026/05/27,2026/06/09,official news article,,,,,hybrid,premium executive EV,no,,,public,,premium executive users,发布即交付,,,,,,,4,medium,发布即交付/即体验的节奏很适合高客单产品。,影石可尝试新品发布当周开放核心城市试拍。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
NIO,P0,China,China,NIO Summer 2025 社区派对与主题试驾,community_operation,completed,2025/07/01,2025/08/31,2026/06/09,official monthly update,,,,,offline,owner community / lifestyle events,no,,,public,,owners; prospects,社区派对与主题试驾,,,,,,,5,medium,这是非常接近影石可复用的社区运营打法。,影石可做夏季城市记录季，结合主题试拍和线下社群活动。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
NIO,P0,China,China,蔚来 80 万台下线暨 ONVO L90 试驾开放,test_drive_booking,completed,2025/07/24,2025/07/24,2026/06/09,official news article,,,,,offline,family SUV,no,,,public,,family users; prospective buyers,试驾开放与城市门店名单,,,,,,,5,medium,这个动作本质上是在把新品关注直接导向线下体验。,影石可做试拍开放日 + 城市名单联动。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
NIO,P0,China,China,蔚来进博会官方出行合作,brand_collab_offline_activation,completed,2025/11/04,2025/11/10,2026/06/09,official news article,,,Shanghai,,offline,brand partnership / service experience,no,,,public,,public guests; premium mobility users,大型活动服务合作,,,,,,,4,medium,大型活动服务合作能提升品牌服务心智和口碑。,影石可与大型展会或赛事合作做官方影像服务伙伴。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Li Auto,P0,China,China,理想汽车首款纯电 SUV 理想 i8 正式发布,product_launch,completed,2025/07/29,2025/07/29,2026/06/09,official news listing,,,,,hybrid,family EV / premium SUV,no,,,public,,family car buyers,家庭场景叙事发布,,,,,,,5,medium,理想非常重家庭使用场景，对影石生活记录产品很有参考价值。,影石可围绕亲子、出行、露营等场景设计活动叙事。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Li Auto,P0,China,China,理想汽车新形态五座 SUV 理想 i6 正式发布,product_launch,completed,2025/09/26,2025/09/26,2026/06/09,official news article,,,,,hybrid,family EV / lifestyle SUV,no,,,public,,young family users,场景叙事后承接试驾,,,,,,,5,medium,发布会直接承接试驾与限时权益。,影石可围绕生活场景先讲故事，再引导到试拍预约。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Li Auto,P0,China,China,理想 AI 眼镜 Livis 发布会,conference,completed,2025/12/03,2025/12/03,2026/06/09,official news listing,,,,,offline,AI wearables / ecosystem,no,,,public,,tech enthusiasts; community users,跨品类生态发布,,,,,,,4,medium,跨品类发布有助于把汽车品牌扩展成生活方式品牌。,影石可考虑把相机周边、穿戴或软件服务纳入统一生态叙事。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Li Auto,P0,China,China,理想线下门店查询入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store page,https://www.lixiang.com/support/store/findus,,,,offline,showroom / service,no,,,public,,family buyers,门店查询与顾问入口,,,,,,,4,medium,门店查询页是标准的线上导流线下基础设施。,影石可加强门店和体验点的聚合入口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Li Auto,P0,China,China,理想社区内容与车友活动入口,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official community page,https://www.lixiang.com/community/list,,,,online,community / owner operations,yes,,,public,,existing owners; potential buyers,社区内容与车友活动聚合,,,,,,,4,medium,社区页适合作为内容、活动和用户关系运营阵地。,影石可把用户作品和线下活动放进统一社区频道。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
XPeng,P0,China,China,小鹏汽车 AI Day 2025,conference,completed,2025/11/05,2025/11/05,2026/06/09,official newsroom listing,https://www.xpeng.com/newsroom,,,,offline,smart EV / AI ecosystem,no,,,public,,technology-minded users,AI 技术大会,,,,,,,4,medium,技术大会加强科技品牌心智并向试驾转化。,影石可做影像 AI 能力开放日。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
XPeng,P0,China,Global,XPENG 亮相 Goodwood Festival of Speed,city_activation,completed,2025/07/10,2025/07/13,2026/06/09,official news article,https://www.xpeng.com/news/0197f776723197e8d9368a02811e0074,,Goodwood,,offline,smart EV / global brand,no,,,public,,performance EV users,动态展示与强场景体验,,,,,,,4,medium,强场景活动更能让技术卖点被感知。,影石可在户外、运动或极限场景里做深度体验。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
XPeng,P0,China,Global,XPENG 亮相 IAA Mobility 2025,conference,completed,2025/09/08,2025/09/08,2026/06/09,official news article,https://www.xpeng.com/pressroom/news/01992787505898ee96718a028110008c,,Munich,,offline,smart EV / AI ecosystem,no,,,public,,global media; tech users,国际展会与 AI 生态展示,,,,,,,4,medium,国际展会适合做技术品牌和生态展示。,影石可在国际展会中用完整内容工作流展示产品能力。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
XPeng,P0,China,China,小鹏活动中心,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official events page,https://www.xpeng.com/events,,,,online,brand events / community,no,,,public,,technology-minded users,活动聚合与报名入口,,,,,,,4,medium,活动中心能让零散活动形成体系感。,影石可做活动中心页面，汇总试拍、课程和挑战赛。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
XPeng,P0,China,China,小鹏服务与用户运营入口,member_service_activity,ongoing,2026/06/09,2026/06/09,2026/06/09,official service page,https://www.xpeng.com/service,,,,hybrid,after-sales / owner operations,yes,,,public,,existing users; owners,服务入口与复访,,,,,,,3,medium,售后支持对复购和口碑非常重要。,影石可做会员服务中心。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
