brand,priority_tier,region,country,activity_name,activity_type,activity_status,start_date,end_date,discovery_date,channel_source,source_url,proof_screenshot,city_or_region,venue,online_offline,product_line,member_only,member_benefit,wecom_or_private_traffic_hook,entry_threshold,signup_flow,target_audience,core_mechanic,ugc_or_creator_mechanic,offer_or_incentive,partnership_or_ip,visual_keyword,engagement_signal,conversion_signal,reuse_score_for_insta360,replication_difficulty,insight_summary,recommendation_for_insta360,owner,review_status,last_updated,link_type,link_note,brand_role,campaign_goal_primary,festival_tag,cooperation_potential,private_traffic_type,conversion_estimate_band
BYD,P0,China,China,比亚迪郑州赛车场,store_experience,active,2026/06/15,2026/06/15,2026/06/15,official campaign page,https://www.byd.com/cn/race-track/race-zhengzhou,,河南省,比亚迪郑州赛车场,offline,no,麋鹿测试、金卡纳、智能泊车、AEB 等体验项目,体验后可继续沉淀预约试驾与门店线索,公开访问,查看赛车场页 -> 预约试驾/体验 -> 到场参与,driving enthusiasts; family buyers,驾驶体验区 + 品牌活动,,多项目体验与品牌活动,,赛车场,低门槛体验与活动聚集,把兴趣流量导向门店与试驾,5,medium,固定场地型线下活动样本，特别适合影石做基地合作。,影石可做运动基地、滑板场或骑行营地的试拍合作活动。,codex-trial,seeded_with_inference,2026/06/26,detail,官方活动页,offline_scene_brand,offline_scene_brand,store_visit,summer_holiday,medium,store_consultant,4%-6%
AITO,P0,China,China,鸿蒙智行预约试驾入口,test_drive_booking,active,2026/06/09,2026/06/09,2026/06/09,official test-drive page,https://hima.auto/test-drive/,,全国,鸿蒙智行门店,online,no,预约后可继续跟进顾问和门店,顾问承接与试驾线索沉淀,公开访问,填写表单 -> 分配门店 -> 到店试驾,high intent EV buyers,预约试驾入口,,预约试驾,,预约试驾,公开报名与试驾承接,直接收口销售线索,5,low,仍然是强转化模板，但在影石系统中适合降权保留。 ,保留作预约体验结构参考，不作为核心学习样本。,codex-trial,seeded,2026/06/26,entry,转化入口页,offline_scene_brand,offline_scene_brand,purchase_conversion,summer_holiday,low,store_consultant,8%-12%
Nike,P1,China,China,Nike Membership 官方会员计划,member_benefit,active,2026/06/09,2026/06/09,2026/06/09,official membership page,https://www.nike.com/membership,,全国,Nike App / 门店,hybrid,yes,会员权益、生日礼、专属活动与免邮,可长期沉淀会员关系,公开加入会员,注册会员 -> 获取权益 -> 进入活动和购买链路,young sports users; runners,Nike Membership 长期会员运营,,会员权益与专属服务,,会员计划,长期权益体系,提升复购和线下参与,4,medium,会员体系结构完整，适合影石参考长期权益包设计。,影石可做会员专属活动 + 生日礼 + 配件券 + 试拍优先权。,codex-trial,seeded,2026/06/26,entry,转化入口页,lifestyle_inspiration_brand,lifestyle_inspiration_brand,repurchase,summer_holiday,high,app_membership,4%-6%
lululemon,P1,China,China,lululemon 热汗课程入口,community_operation,active,2026/06/09,2026/06/09,2026/06/09,official content page,https://www.lululemon.cn/article-l-43.html,,全国,门店 / 社群课,offline,no,课程活动与社区连接,活动后适合承接门店社群和长期复访,公开参与,官网内容页 -> 课程报名 -> 到店参与,young women; yoga users,门店课程与社群报名,,课程体验与社区归属感,,热汗课程,课程内容与门店体验,高频复访和社区沉淀,5,medium,社区课是高复购、高到店、高口碑的代表机制。,影石可做固定频次创作工作坊或城市影像课。,codex-trial,seeded,2026/06/26,entry,转化入口页,lifestyle_inspiration_brand,lifestyle_inspiration_brand,community_retention,summer_holiday,high,mini_program,4%-6%
Arc'teryx,P1,China,China,始祖鸟山地课堂 × 小红书第二现场,community_operation,active,2026/06/09,2026/06/09,2026/06/09,award case,https://winner.roifestival.com/cn/winners/detail/98aa5nij,,全国,线下课堂 / 小红书第二现场,hybrid,no,专业课堂与社媒放大,可把社媒内容和线下活动联动沉淀社群,公开参与/公开传播,线下活动 -> 小红书第二现场传播 -> 复访,climbers; outdoor enthusiasts,专业课堂 + 第二现场内容放大,,内容传播与专业认同,,山地课堂 / 第二现场,专业圈层内容传播,带动线下活动和长期认同,5,medium,这是典型的可合作品牌样本，特别适合内容和线下活动联动。,影石可把线下体验课和社媒内容阵地打通，形成第二现场放大器。,codex-trial,seeded_with_inference,2026/06/26,reference,公开参考页,cooperation_candidate,cooperation_candidate,community_retention,summer_holiday,high,official_account,4%-6%
CHAGEE,P1,China,China,霸王茶姬茶小象世界旅行：抽10万张0.01元券,member_benefit,completed,2026/06/05,2026/06/14,2026/06/15,marketing media coverage,https://m.haikou.bendibao.com/youhui/82649.shtm,,全国,微信小程序,hybrid,yes,0.01元饮品券抽奖与多次参与机会,小程序参与后可继续导入社群或会员池,注册或登录小程序,进入小程序活动页 -> 抽券 -> 到店核销,young tea beverage users,小游戏抽券 + 到店核销,社交分享提升参与率,10万张0.01元券,茶小象 IP,世界旅行小游戏,低门槛高频参与,抽券后导向门店消费和复购,4,low,标准的小程序拉新转门店核销模型，很适合做节日前回流。,影石可做节日前小游戏抽券，把配件券或试拍券直接导流到门店。,codex-trial,seeded_with_inference,2026/06/26,reference,公开参考页,youth_traffic_brand,youth_traffic_brand,store_visit,dragon_boat_festival|fathers_day|618,medium,mini_program,4%-6%
Nayuki,P1,China,China,奈雪的茶 × 麦兜联名：198家门店主题店与快乐宝宝节,brand_collab_offline_activation,completed,2026/06/01,2026/06/08,2026/06/15,business media coverage,https://www.ebrun.com/20260602/672153.shtml,,全国,198家主题店,offline,no,主题店打卡和节日限定联名体验,主题店活动后可二次触达会员与复购,公开到店,看到联名宣发 -> 到店打卡 -> 购买联名产品,young families; IP lovers,主题店改造 + 节日联名打卡,门店打卡晒图,联名限定体验,麦兜,主题店 / 快乐宝宝节,线下打卡与社交传播,主题店到店消费与二次复访,5,medium,全国多店同发的主题店活动，特别适合节日窗口联动。,影石可在端午、暑期、七夕做多城快闪门店陈列和打卡位。,codex-trial,seeded_with_inference,2026/06/26,reference,公开参考页,cooperation_candidate,cooperation_candidate,store_visit,childrens_day|summer_holiday,high,wecom_group,6%-8%
ChaPanda,P1,China,China,茶百道猜拳赢好礼：最高领20元喝奶茶金,community_operation,completed,2026/06/05,2026/06/11,2026/06/15,marketing media coverage,https://hz.bendibao.com/youhui/202665/171137.shtm,,全国,微信小程序 / 企业微信群,hybrid,yes,20元喝奶茶金和社群互动福利,活动信息在企业微信群持续触达,加入群聊并进入小程序,群里领活动信息 -> 小程序猜拳 -> 领取喝奶茶金 -> 到店核销,price-sensitive tea users,社群触达 + 小程序猜拳,,20元喝奶茶金,,猜拳小游戏,社群频繁触达,券包直接拉动到店核销,5,low,企微群发 + 小程序小游戏 + 到店核销的典型节日前快速回流模型。,影石可做企微社群专属小游戏券包，先激活老会员再导流到门店。,codex-trial,seeded_with_inference,2026/06/26,reference,公开参考页,youth_traffic_brand,youth_traffic_brand,private_traffic_capture,dragon_boat_festival|fathers_day|618,medium,wecom_group,8%-12%
Guming,P1,China,China,古茗连续五天猜口令抢免单,member_benefit,completed,2026/06/08,2026/06/12,2026/06/15,marketing media coverage,https://m.jm.bendibao.com/news/16359.shtm,,全国,小程序 / 门店核销,hybrid,yes,免单机会与连续5天活动参与感,连续活动适合沉淀成会员日常触达,进入小程序并输入口令,获取口令 -> 小程序参与 -> 领取奖励 -> 门店核销,daily tea drinkers,连续任务 + 口令互动 + 免单激励,口令传播,免单,,连续5天活动,连续打卡与口令传播,高频到店核销与复购,4,low,连续五天滚动运营形成用户惯性参与，适合节日前高频触达。,影石可在节日前做连续3-5天口令解锁券包，保持日更触达。,codex-trial,seeded_with_inference,2026/06/26,reference,公开参考页,youth_traffic_brand,youth_traffic_brand,repurchase,dragon_boat_festival|fathers_day,medium,mini_program,4%-6%
Auntea Jenny,P1,China,China,沪上阿姨10万份0.01元尝新券,member_benefit,completed,2026/05/15,2026/05/17,2026/06/22,marketing media coverage,https://www.sohu.com/a/1022328074_121123818,,全国,沪上阿姨小程序 / 门店核销,hybrid,yes,10万份0.01元新品尝新券,活动入口可持续沉淀到会员触达,进入小程序参与,小程序活动入口 -> 抢券/抽券 -> 到店核销新品,young female beverage users,低价尝新券 + 新品引流,,0.01元尝新券,,尝新券 / 新品试饮,低门槛抢券,新品到店试饮和后续复购,5,low,0.01元尝新券对新品转化非常直接，适合快速引爆到店试用。,影石可做新品体验券或限时配件尝鲜券，用超低门槛换到店试拍。,codex-trial,seeded_with_inference,2026/06/26,reference,公开参考页,youth_traffic_brand,youth_traffic_brand,store_visit,mothers_day|520,medium,mini_program,8%-12%
